runid	exp	study	word	seed	priority	epochs	nodes	rel	run_hours	warm_start_from	note
RO01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R2_Y0_Z1.S47	RO01	rollout	D0_G0_I0_M2_N0_Q0_R2_Y0_Z1	47	2	30	4	1.89	137		stochastic model (BL01's members/objective) at two steps, both scored, losses summed -- mimicking ACE2 training. RO01 - BL01 reads the sampled-vs-fixed rollout choice at a fixed two-step depth.
RO01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R2_Y0_Z1.S82	RO01	rollout	D0_G0_I0_M2_N0_Q0_R2_Y0_Z1	82	2	30	4	1.89	137		stochastic model (BL01's members/objective) at two steps, both scored, losses summed -- mimicking ACE2 training. RO01 - BL01 reads the sampled-vs-fixed rollout choice at a fixed two-step depth.
RO02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R4_Y0_Z0.S01	RO02	rollout	D1_G0_I0_M1_N0_Q0_R4_Y0_Z0	01	2	30	4	0.72	63		deterministic baseline (BL02's objective) extended to BL01's sampled 20-step rollout instead of BL02's fixed two steps -- RO02 - BL02 reads the rollout-depth effect on the deterministic pole, the same axis RO01 reads on the stochastic one.
RO02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R4_Y0_Z0.S47	RO02	rollout	D1_G0_I0_M1_N0_Q0_R4_Y0_Z0	47	2	30	4	0.72	63		deterministic baseline (BL02's objective) extended to BL01's sampled 20-step rollout instead of BL02's fixed two steps -- RO02 - BL02 reads the rollout-depth effect on the deterministic pole, the same axis RO01 reads on the stochastic one.
RO02.sep26v3.atm.D1_G0_I0_M1_N0_Q0_R4_Y0_Z0.S82	RO02	rollout	D1_G0_I0_M1_N0_Q0_R4_Y0_Z0	82	2	30	4	0.72	63		deterministic baseline (BL02's objective) extended to BL01's sampled 20-step rollout instead of BL02's fixed two steps -- RO02 - BL02 reads the rollout-depth effect on the deterministic pole, the same axis RO01 reads on the stochastic one.
EN02.sep26v3.atm.D0_G0_I0_M3_N0_Q0_R4_Y0_Z1.S01	EN02	ensemble size	D0_G0_I0_M3_N0_Q0_R4_Y0_Z1	01	3	30	4	2.18	156		three-member stochastic ensemble at BL01's full objective (CRPS + spectral energy score) and rollout -- EN02 - BL01 is ensemble size alone.
EN02.sep26v3.atm.D0_G0_I0_M3_N0_Q0_R4_Y0_Z1.S47	EN02	ensemble size	D0_G0_I0_M3_N0_Q0_R4_Y0_Z1	47	3	30	4	2.18	156		three-member stochastic ensemble at BL01's full objective (CRPS + spectral energy score) and rollout -- EN02 - BL01 is ensemble size alone.
EN02.sep26v3.atm.D0_G0_I0_M3_N0_Q0_R4_Y0_Z1.S82	EN02	ensemble size	D0_G0_I0_M3_N0_Q0_R4_Y0_Z1	82	3	30	4	2.18	156		three-member stochastic ensemble at BL01's full objective (CRPS + spectral energy score) and rollout -- EN02 - BL01 is ensemble size alone.
NC01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z2.S01	NC01	noise conditioning	D0_G0_I0_M2_N0_Q0_R4_Y0_Z2	01	3	30	4	1.52	114		64-dim noise embedding added to the stochastic model (BL01's objective), against BL01's 32-dim default -- NC01 - BL01 is noise width alone.
NC01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z2.S47	NC01	noise conditioning	D0_G0_I0_M2_N0_Q0_R4_Y0_Z2	47	3	30	4	1.52	114		64-dim noise embedding added to the stochastic model (BL01's objective), against BL01's 32-dim default -- NC01 - BL01 is noise width alone.
NC01.sep26v3.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z2.S82	NC01	noise conditioning	D0_G0_I0_M2_N0_Q0_R4_Y0_Z2	82	3	30	4	1.52	114		64-dim noise embedding added to the stochastic model (BL01's objective), against BL01's 32-dim default -- NC01 - BL01 is noise width alone.
