runid	exp	study	word	seed	priority	epochs	nodes	rel	run_hours	warm_start_from	note
LG04.sep26.atm.D0_G0_I0_M2_N0_Q0_R0_Y0_Z0.S01	LG04	loss geometry	D0_G0_I0_M2_N0_Q0_R0_Y0_Z0	01	2	30	4	1.00	81		RF01's own objective with the noise pathway removed. The one control that asks whether the noise helps under a loss that can reward dispersion -- the rest of the LG block sits at M1, where CRPS is exactly MAE and nothing rewards spread
EN01.sep26.atm.D0_G1_I0_M2_N0_Q0_R0_Y0_Z1.S01	EN01	ensemble size	D0_G1_I0_M2_N0_Q0_R0_Y0_Z1	01	2	30	4	1.00	81		pure CRPS at two members: M2 of the sweep, and what the 0.1 energy-score term buys against RF01
EN02.sep26.atm.D0_G1_I0_M3_N0_Q0_R0_Y0_Z1.S01	EN02	ensemble size	D0_G1_I0_M3_N0_Q0_R0_Y0_Z1	01	4	30	4	1.44	108		three members on a pure-CRPS objective
NC01.sep26.atm.D0_G0_I0_M2_N1_Q0_R0_Y0_Z1.S01	NC01	noise conditioning	D0_G0_I0_M2_N1_Q0_R0_Y0_Z1	01	3	30	4	1.00	81		gaussian noise: i.i.d. per grid point against isotropic drawn in spherical-harmonic space. A claim about spatial correlation
NC02.sep26.atm.D0_G0_I0_M2_N0_Q0_R0_Y0_Z2.S01	NC02	noise conditioning	D0_G0_I0_M2_N0_Q0_R0_Y0_Z2	01	6	30	4	1.00	81		noise_embed_dim 64 against the template's 32. PARKED at priority 6: Z2 doubles the conditioning convs' input width, so it moves capacity as well as latent width, and the Z axis is unpaired across seeds (only 5 of 22 shared tensors survive a Z change at a fixed seed), so one seed cannot separate the effect from the reshuffled init. Needs a fixed-architecture noise_scale knob upstream first
OI01.sep26.atm.D0_G3_I0_M2_N0_Q0_R0_Y0_Z1.S01	OI01	objective internals	D0_G3_I0_M2_N0_Q0_R0_Y0_Z1	01	4	30	4	1.00	81		crps/energy at 0.5/0.5. With RF01 (0.9/0.1) and EN01 (1.0/0.0) this gives three points on the split. The two terms are not on a common scale, so equal coefficients are not an equal contribution
OI02.sep26.atm.D0_G0_I0_M2_N0_Q1_R0_Y0_Z1.S01	OI02	objective internals	D0_G0_I0_M2_N0_Q1_R0_Y0_Z1	01	3	30	4	1.00	81		multiscale finite-difference CRPS at one level. NOT the pooled CRPS of Alet et al. -- this scores lat/lon index increments, and it adds 0.1 ON TOP of a 1.0 objective, so its component weights sum to 1.1
OI03.sep26.atm.D0_G0_I0_M2_N0_Q3_R0_Y0_Z1.S01	OI03	objective internals	D0_G0_I0_M2_N0_Q3_R0_Y0_Z1	01	6	30	4	1.00	81		three coarsening levels. FiniteDifferenceCRPSLoss divides by levels, so this spreads the same 0.1 over three scales rather than tripling it. PARKED at priority 6: a weak contrast against OI02 by construction, and worth defining on an area-weighted physical scale first
OI04.sep26.atm.D0_G0_I0_M2_N0_Q0_R0_Y1_Z1.S01	OI04	objective internals	D0_G0_I0_M2_N0_Q0_R0_Y1_Z1	01	4	30	4	1.00	81		almost-fair CRPS at alpha 0.95 at two members, where the pairwise term is a single pair and estimator noise is largest. epsilon now scales as (1-alpha)/M (B5), so the arm is valid at any M
RO01.sep26.atm.D0_G0_I0_M2_N0_Q0_R1_Y0_Z1.S01	RO01	rollout	D0_G0_I0_M2_N0_Q0_R1_Y0_Z1	01	3	30	4	1.21	94		two steps, the first detached under no_grad, only the 12 h state scored. Against RF01 this moves the scored lead AND the input distribution (analysed states -> the model's own 6 h states)
RO02.sep26.atm.D0_G0_I0_M2_N0_Q0_R2_Y0_Z1.S01	RO02	rollout	D0_G0_I0_M2_N0_Q0_R2_Y0_Z1	01	4	30	4	1.89	137		two steps, both scored, losses summed. RO02-RO01 adds the 6 h loss to the 12 h one, so it also raises the objective scale -- read it with that confound, or normalise by the scored-step count first
RO03.sep26.atm.D1_G0_I0_M1_N0_Q0_R1_Y0_Z0.S01	RO03	rollout	D1_G0_I0_M1_N0_Q0_R1_Y0_Z0	01	4	30	4	0.58	54		two steps, one scored, on the deterministic row: reads the rollout effect on both objectives rather than only the stochastic one
RO04.sep26.atm.D0_G0_I0_M2_N0_Q0_R4_Y0_Z1.S01	RO04	rollout	D0_G0_I0_M2_N0_Q0_R4_Y0_Z1	01	5	30	4	1.52	114		sampled rollout to 20 steps. The expected horizon is 3.0 steps and only 5% of batches reach 20, so this is mostly short training with a thin long tail, not a long-rollout arm
CU01.sep26.atm.D0_G0_I1_M2_N0_Q0_R0_Y0_Z1.S01	CU01	curriculum	D0_G0_I1_M2_N0_Q0_R0_Y0_Z1	01	6	30	4	1.00	81	RF02	the template objective, warm-started from RF02's deterministic weights. Serialized behind RF02. PARKED at priority 6: against RF01 it moves pretraining, 30 extra epochs of total training, the architecture, the objective, the member count, and fresh optimizer and EMA state all at once. It needs a 60-epoch stochastic-from-scratch control and a deterministic 30+30 restart to mean anything
